ステップ数,節点0の温度,節点1の温度,節点2の温度,節点3の温度,節点4の温度,節点5の温度,節点6の温度,節点7の温度,節点8の温度,節点9の温度,節点10の温度,節点11の温度,,
212, 183.367,130.781,77.9501,-1.48255,4.30119,6.06029,14.104,91.6951,56.8702,30.7352,57.4279,39.5964,,
213, 183.367,130.781,77.9502,-1.48226,4.30151,6.0606,14.1043,91.6953,56.8704,30.7354,57.4281,39.5966,,
214, 183.367,130.781,77.9503,-1.48197,4.30181,6.0609,14.1046,91.6954,56.8706,30.7356,57.4283,39.5968,,
215, 183.367,130.781,77.9504,-1.4817,4.3021,6.06119,14.1049,91.6955,56.8707,30.7358,57.4285,39.597,,
216, 183.367,130.781,77.9505,-1.48144,4.30237,6.06147,14.1051,91.6956,56.8709,30.7359,57.4287,39.5972,,
217, 183.367,130.781,77.9506,-1.48119,4.30264,6.06174,14.1054,91.6957,56.871,30.7361,57.4289,39.5973,,
218, 183.367,130.781,77.9507,-1.48095,4.3029,6.06199,14.1056,91.6958,56.8712,30.7363,57.429,39.5975,,
219, 183.367,130.781,77.9508,-1.48072,4.30315,6.06224,14.1059,91.6959,56.8713,30.7365,57.4292,39.5977,,
220, 183.367,130.781,77.9509,-1.4805,4.30338,6.06248,14.1061,91.696,56.8715,30.7366,57.4293,39.5978,,
221, 183.367,130.781,77.951,-1.48028,4.30361,6.06271,14.1063,91.6961,56.8716,30.7368,57.4295,39.598,,
222, 183.367,130.781,77.9511,-1.48008,4.30383,6.06293,14.1065,91.6962,56.8717,30.7369,57.4296,39.5981,,
223, 183.367,130.781,77.9512,-1.47988,4.30404,6.06314,14.1067,91.6963,56.8719,30.7371,57.4298,39.5982,,
224, 183.367,130.781,77.9512,-1.47969,4.30425,6.06334,14.1069,91.6964,56.872,30.7372,57.4299,39.5984,,
225, 183.367,130.781,77.9513,-1.4795,4.30444,6.06353,14.1071,91.6965,56.8721,30.7373,57.43,39.5985,,
226, 183.367,130.781,77.9514,-1.47933,4.30463,6.06372,14.1073,91.6966,56.8722,30.7374,57.4302,39.5986,,
227, 183.367,130.782,77.9514,-1.47916,4.30481,6.0639,14.1074,91.6966,56.8723,30.7376,57.4303,39.5987,,
228, 183.367,130.782,77.9515,-1.479,4.30498,6.06408,14.1076,91.6967,56.8724,30.7377,57.4304,39.5988,,
229, 183.367,130.782,77.9516,-1.47884,4.30515,6.06424,14.1078,91.6968,56.8725,30.7378,57.4305,39.5989,,
230, 183.367,130.782,77.9516,-1.47869,4.30531,6.0644,14.1079,91.6968,56.8726,30.7379,57.4306,39.599,,
231, 183.367,130.782,77.9517,-1.47855,4.30546,6.06456,14.1081,91.6969,56.8727,30.738,57.4307,39.5991,,
232, 183.367,130.782,77.9518,-1.47841,4.30561,6.0647,14.1082,91.697,56.8728,30.7381,57.4308,39.5992,,
233, 183.367,130.782,77.9518,-1.47827,4.30575,6.06485,14.1083,91.697,56.8728,30.7382,57.4309,39.5993,,
234, 183.367,130.782,77.9519,-1.47815,4.30589,6.06498,14.1085,91.6971,56.8729,30.7383,57.431,39.5994,,
235, 183.367,130.782,77.9519,-1.47802,4.30602,6.06511,14.1086,91.6971,56.873,30.7384,57.4311,39.5995,,
236, 183.367,130.782,77.952,-1.4779,4.30615,6.06524,14.1087,91.6972,56.8731,30.7385,57.4312,39.5996,,
237, 183.367,130.782,77.952,-1.47779,4.30627,6.06536,14.1088,91.6972,56.8731,30.7385,57.4312,39.5996,,
238, 183.367,130.782,77.952,-1.47768,4.30639,6.06548,14.1089,91.6973,56.8732,30.7386,57.4313,39.5997,,
239, 183.367,130.782,77.9521,-1.47758,4.3065,6.06559,14.109,91.6973,56.8733,30.7387,57.4314,39.5998,,
240, 183.367,130.782,77.9521,-1.47747,4.30661,6.0657,14.1091,91.6974,56.8733,30.7388,57.4315,39.5998,,
241, 183.367,130.782,77.9522,-1.47738,4.30671,6.0658,14.1092,91.6974,56.8734,30.7388,57.4315,39.5999,,
242, 183.367,130.782,77.9522,-1.47728,4.30681,6.0659,14.1093,91.6974,56.8735,30.7389,57.4316,39.6,,
243, 183.367,130.782,77.9522,-1.47719,4.30691,6.066,14.1094,91.6975,56.8735,30.739,57.4317,39.6,,
244, 183.367,130.782,77.9523,-1.47711,4.307,6.06609,14.1095,91.6975,56.8736,30.739,57.4317,39.6001,,
245, 183.367,130.782,77.9523,-1.47702,4.30709,6.06618,14.1096,91.6976,56.8736,30.7391,57.4318,39.6002,,
246, 183.367,130.782,77.9523,-1.47694,4.30717,6.06626,14.1097,91.6976,56.8737,30.7391,57.4318,39.6002,,
247, 183.367,130.782,77.9524,-1.47687,4.30725,6.06634,14.1097,91.6976,56.8737,30.7392,57.4319,39.6003,,
248, 183.367,130.782,77.9524,-1.47679,4.30733,6.06642,14.1098,91.6977,56.8738,30.7392,57.4319,39.6003,,
249, 183.367,130.782,77.9524,-1.47672,4.30741,6.0665,14.1099,91.6977,56.8738,30.7393,57.432,39.6004,,
250, 183.367,130.782,77.9525,-1.47665,4.30748,6.06657,14.11,91.6977,56.8739,30.7393,57.432,39.6004,,
251, 183.367,130.782,77.9525,-1.47659,4.30755,6.06664,14.11,91.6977,56.8739,30.7394,57.4321,39.6004,,
252, 183.367,130.782,77.9525,-1.47653,4.30762,6.06671,14.1101,91.6978,56.8739,30.7394,57.4321,39.6005,,
253, 183.367,130.782,77.9525,-1.47647,4.30768,6.06677,14.1101,91.6978,56.874,30.7395,57.4322,39.6005,,
254, 183.367,130.782,77.9526,-1.47641,4.30774,6.06683,14.1102,91.6978,56.874,30.7395,57.4322,39.6006,,
255, 183.367,130.782,77.9526,-1.47635,4.3078,6.06689,14.1103,91.6979,56.874,30.7396,57.4322,39.6006,,
256, 183.367,130.782,77.9526,-1.4763,4.30786,6.06695,14.1103,91.6979,56.8741,30.7396,57.4323,39.6006,,
257, 183.367,130.782,77.9526,-1.47625,4.30792,6.06701,14.1104,91.6979,56.8741,30.7396,57.4323,39.6007,,
258, 183.367,130.782,77.9527,-1.4762,4.30797,6.06706,14.1104,91.6979,56.8741,30.7397,57.4324,39.6007,,
259, 183.367,130.782,77.9527,-1.47615,4.30802,6.06711,14.1105,91.6979,56.8742,30.7397,57.4324,39.6007,,
260, 183.367,130.782,77.9527,-1.4761,4.30807,6.06716,14.1105,91.698,56.8742,30.7397,57.4324,39.6008,,
261, 183.367,130.782,77.9527,-1.47606,4.30812,6.06721,14.1106,91.698,56.8742,30.7398,57.4325,39.6008,,
262, 183.367,130.782,77.9527,-1.47602,4.30816,6.06725,14.1106,91.698,56.8742,30.7398,57.4325,39.6008,,
263, 183.367,130.782,77.9527,-1.47598,4.30821,6.0673,14.1106,91.698,56.8743,30.7398,57.4325,39.6009,,
264, 183.367,130.782,77.9528,-1.47594,4.30825,6.06734,14.1107,91.698,56.8743,30.7399,57.4325,39.6009,,
265, 183.367,130.782,77.9528,-1.4759,4.30829,6.06738,14.1107,91.698,56.8743,30.7399,57.4326,39.6009,,
266, 183.367,130.782,77.9528,-1.47586,4.30833,6.06742,14.1108,91.6981,56.8743,30.7399,57.4326,39.6009,,
267, 183.367,130.782,77.9528,-1.47583,4.30836,6.06745,14.1108,91.6981,56.8744,30.7399,57.4326,39.601,,
268, 183.367,130.782,77.9528,-1.47579,4.3084,6.06749,14.1108,91.6981,56.8744,30.74,57.4326,39.601,,
269, 183.367,130.782,77.9528,-1.47576,4.30843,6.06752,14.1109,91.6981,56.8744,30.74,57.4327,39.601,,
270, 183.367,130.782,77.9528,-1.47573,4.30847,6.06756,14.1109,91.6981,56.8744,30.74,57.4327,39.601,,
271, 183.367,130.782,77.9529,-1.4757,4.3085,6.06759,14.1109,91.6981,56.8744,30.74,57.4327,39.601,,
272, 183.367,130.782,77.9529,-1.47567,4.30853,6.06762,14.1109,91.6981,56.8745,30.74,57.4327,39.6011,,
273, 183.367,130.782,77.9529,-1.47564,4.30856,6.06765,14.111,91.6982,56.8745,30.7401,57.4327,39.6011,,
274, 183.367,130.782,77.9529,-1.47562,4.30859,6.06768,14.111,91.6982,56.8745,30.7401,57.4328,39.6011,,
275, 183.367,130.782,77.9529,-1.47559,4.30861,6.0677,14.111,91.6982,56.8745,30.7401,57.4328,39.6011,,
276, 183.367,130.782,77.9529,-1.47557,4.30864,6.06773,14.111,91.6982,56.8745,30.7401,57.4328,39.6011,,
277, 183.367,130.782,77.9529,-1.47554,4.30866,6.06775,14.1111,91.6982,56.8745,30.7401,57.4328,39.6012,,
278, 183.367,130.782,77.9529,-1.47552,4.30869,6.06778,14.1111,91.6982,56.8746,30.7401,57.4328,39.6012,,
279, 183.367,130.782,77.9529,-1.4755,4.30871,6.0678,14.1111,91.6982,56.8746,30.7402,57.4328,39.6012,,
280, 183.367,130.782,77.9529,-1.47548,4.30873,6.06782,14.1111,91.6982,56.8746,30.7402,57.4329,39.6012,,
281, 183.367,130.782,77.953,-1.47546,4.30875,6.06784,14.1112,91.6982,56.8746,30.7402,57.4329,39.6012,,
282, 183.367,130.782,77.953,-1.47544,4.30878,6.06787,14.1112,91.6982,56.8746,30.7402,57.4329,39.6012,,
283, 183.367,130.782,77.953,-1.47542,4.3088,6.06789,14.1112,91.6983,56.8746,30.7402,57.4329,39.6012,,
284, 183.367,130.782,77.953,-1.4754,4.30881,6.0679,14.1112,91.6983,56.8746,30.7402,57.4329,39.6012,,
285, 183.367,130.782,77.953,-1.47539,4.30883,6.06792,14.1112,91.6983,56.8746,30.7402,57.4329,39.6013,,
286, 183.367,130.782,77.953,-1.47537,4.30885,6.06794,14.1112,91.6983,56.8746,30.7403,57.4329,39.6013,,
287, 183.367,130.782,77.953,-1.47535,4.30887,6.06796,14.1113,91.6983,56.8747,30.7403,57.4329,39.6013,,
288, 183.367,130.782,77.953,-1.47534,4.30888,6.06797,14.1113,91.6983,56.8747,30.7403,57.433,39.6013,,
289, 183.367,130.782,77.953,-1.47532,4.3089,6.06799,14.1113,91.6983,56.8747,30.7403,57.433,39.6013,,
290, 183.367,130.782,77.953,-1.47531,4.30891,6.068,14.1113,91.6983,56.8747,30.7403,57.433,39.6013,,
291, 183.367,130.782,77.953,-1.4753,4.30893,6.06802,14.1113,91.6983,56.8747,30.7403,57.433,39.6013,,
292, 183.367,130.782,77.953,-1.47528,4.30894,6.06803,14.1113,91.6983,56.8747,30.7403,57.433,39.6013,,
293, 183.367,130.782,77.953,-1.47527,4.30895,6.06805,14.1113,91.6983,56.8747,30.7403,57.433,39.6013,,
294, 183.367,130.782,77.953,-1.47526,4.30897,6.06806,14.1114,91.6983,56.8747,30.7403,57.433,39.6013,,
295, 183.367,130.782,77.953,-1.47525,4.30898,6.06807,14.1114,91.6983,56.8747,30.7403,57.433,39.6014,,
296, 183.367,130.782,77.953,-1.47524,4.30899,6.06808,14.1114,91.6983,56.8747,30.7403,57.433,39.6014,,
297, 183.367,130.782,77.953,-1.47523,4.309,6.06809,14.1114,91.6983,56.8747,30.7404,57.433,39.6014,,
298, 183.367,130.782,77.9531,-1.47522,4.30901,6.0681,14.1114,91.6983,56.8747,30.7404,57.433,39.6014,,
299, 183.367,130.782,77.9531,-1.47521,4.30902,6.06811,14.1114,91.6984,56.8747,30.7404,57.433,39.6014,,
300, 183.367,130.782,77.9531,-1.4752,4.30903,6.06812,14.1114,91.6984,56.8748,30.7404,57.4331,39.6014,,
301, 183.367,130.782,77.9531,-1.47519,4.30904,6.06813,14.1114,91.6984,56.8748,30.7404,57.4331,39.6014,,
302, 183.367,130.782,77.9531,-1.47518,4.30905,6.06814,14.1114,91.6984,56.8748,30.7404,57.4331,39.6014,,
303, 183.367,130.782,77.9531,-1.47517,4.30906,6.06815,14.1114,91.6984,56.8748,30.7404,57.4331,39.6014,,
304, 183.367,130.782,77.9531,-1.47516,4.30907,6.06816,14.1115,91.6984,56.8748,30.7404,57.4331,39.6014,,
305, 183.367,130.782,77.9531,-1.47516,4.30908,6.06817,14.1115,91.6984,56.8748,30.7404,57.4331,39.6014,,
306, 183.367,130.782,77.9531,-1.47515,4.30909,6.06818,14.1115,91.6984,56.8748,30.7404,57.4331,39.6014,,
307, 183.367,130.782,77.9531,-1.47514,4.3091,6.06819,14.1115,91.6984,56.8748,30.7404,57.4331,39.6014,,
308, 183.367,130.782,77.9531,-1.47513,4.3091,6.06819,14.1115,91.6984,56.8748,30.7404,57.4331,39.6014,,
309, 183.367,130.782,77.9531,-1.47513,4.30911,6.0682,14.1115,91.6984,56.8748,30.7404,57.4331,39.6014,,
310, 183.367,130.782,77.9531,-1.47512,4.30912,6.06821,14.1115,91.6984,56.8748,30.7404,57.4331,39.6014,,
311, 183.367,130.782,77.9531,-1.47511,4.30912,6.06821,14.1115,91.6984,56.8748,30.7404,57.4331,39.6014,,
312, 183.367,130.782,77.9531,-1.47511,4.30913,6.06822,14.1115,91.6984,56.8748,30.7404,57.4331,39.6014,,
313, 183.367,130.782,77.9531,-1.4751,4.30914,6.06823,14.1115,91.6984,56.8748,30.7404,57.4331,39.6014,,
314, 183.367,130.782,77.9531,-1.4751,4.30914,6.06823,14.1115,91.6984,56.8748,30.7404,57.4331,39.6015,,
315, 183.367,130.782,77.9531,-1.47509,4.30915,6.06824,14.1115,91.6984,56.8748,30.7404,57.4331,39.6015,,
316, 183.367,130.782,77.9531,-1.47509,4.30915,6.06824,14.1115,91.6984,56.8748,30.7405,57.4331,39.6015,,
317, 183.367,130.782,77.9531,-1.47508,4.30916,6.06825,14.1115,91.6984,56.8748,30.7405,57.4331,39.6015,,
318, 183.367,130.782,77.9531,-1.47508,4.30916,6.06825,14.1115,91.6984,56.8748,30.7405,57.4331,39.6015,,
319, 183.367,130.782,77.9531,-1.47507,4.30917,6.06826,14.1115,91.6984,56.8748,30.7405,57.4331,39.6015,,
320, 183.367,130.782,77.9531,-1.47507,4.30917,6.06826,14.1116,91.6984,56.8748,30.7405,57.4331,39.6015,,
321, 183.367,130.782,77.9531,-1.47506,4.30918,6.06827,14.1116,91.6984,56.8748,30.7405,57.4331,39.6015,,
322, 183.367,130.782,77.9531,-1.47506,4.30918,6.06827,14.1116,91.6984,56.8748,30.7405,57.4331,39.6015,,
323, 183.367,130.782,77.9531,-1.47506,4.30918,6.06827,14.1116,91.6984,56.8748,30.7405,57.4332,39.6015,,
324, 183.367,130.782,77.9531,-1.47505,4.30919,6.06828,14.1116,91.6984,56.8748,30.7405,57.4332,39.6015,,
325, 183.367,130.782,77.9531,-1.47505,4.30919,6.06828,14.1116,91.6984,56.8748,30.7405,57.4332,39.6015,,
326, 183.367,130.782,77.9531,-1.47505,4.3092,6.06829,14.1116,91.6984,56.8748,30.7405,57.4332,39.6015,,
327, 183.367,130.782,77.9531,-1.47504,4.3092,6.06829,14.1116,91.6984,56.8748,30.7405,57.4332,39.6015,,
328, 183.367,130.782,77.9531,-1.47504,4.3092,6.06829,14.1116,91.6984,56.8749,30.7405,57.4332,39.6015,,
329, 183.367,130.782,77.9531,-1.47504,4.30921,6.0683,14.1116,91.6984,56.8749,30.7405,57.4332,39.6015,,
330, 183.367,130.782,77.9531,-1.47503,4.30921,6.0683,14.1116,91.6984,56.8749,30.7405,57.4332,39.6015,,
331, 183.367,130.782,77.9531,-1.47503,4.30921,6.0683,14.1116,91.6984,56.8749,30.7405,57.4332,39.6015,,
332, 183.367,130.782,77.9531,-1.47503,4.30921,6.0683,14.1116,91.6984,56.8749,30.7405,57.4332,39.6015,,
333, 183.367,130.782,77.9531,-1.47503,4.30922,6.06831,14.1116,91.6984,56.8749,30.7405,57.4332,39.6015,,
334, 183.367,130.782,77.9531,-1.47502,4.30922,6.06831,14.1116,91.6984,56.8749,30.7405,57.4332,39.6015,,
335, 183.367,130.782,77.9531,-1.47502,4.30922,6.06831,14.1116,91.6984,56.8749,30.7405,57.4332,39.6015,,
336, 183.367,130.782,77.9531,-1.47502,4.30922,6.06831,14.1116,91.6984,56.8749,30.7405,57.4332,39.6015,,
337, 183.367,130.782,77.9531,-1.47502,4.30923,6.06832,14.1116,91.6984,56.8749,30.7405,57.4332,39.6015,,
338, 183.367,130.782,77.9531,-1.47501,4.30923,6.06832,14.1116,91.6984,56.8749,30.7405,57.4332,39.6015,,
339, 183.367,130.782,77.9531,-1.47501,4.30923,6.06832,14.1116,91.6984,56.8749,30.7405,57.4332,39.6015,,
340, 183.367,130.782,77.9531,-1.47501,4.30923,6.06832,14.1116,91.6984,56.8749,30.7405,57.4332,39.6015,,
341, 183.367,130.782,77.9531,-1.47501,4.30924,6.06833,14.1116,91.6984,56.8749,30.7405,57.4332,39.6015,,
342, 183.367,130.782,77.9531,-1.47501,4.30924,6.06833,14.1116,91.6984,56.8749,30.7405,57.4332,39.6015,,
343, 183.367,130.782,77.9531,-1.47501,4.30924,6.06833,14.1116,91.6984,56.8749,30.7405,57.4332,39.6015,,
344, 183.367,130.782,77.9531,-1.475,4.30924,6.06833,14.1116,91.6984,56.8749,30.7405,57.4332,39.6015,,
345, 183.367,130.782,77.9531,-1.475,4.30924,6.06833,14.1116,91.6984,56.8749,30.7405,57.4332,39.6015,,
346, 183.367,130.782,77.9531,-1.475,4.30924,6.06833,14.1116,91.6984,56.8749,30.7405,57.4332,39.6015,,
347, 183.367,130.782,77.9531,-1.475,4.30925,6.06834,14.1116,91.6984,56.8749,30.7405,57.4332,39.6015,,
348, 183.367,130.782,77.9531,-1.475,4.30925,6.06834,14.1116,91.6984,56.8749,30.7405,57.4332,39.6015,,
349, 183.367,130.782,77.9531,-1.475,4.30925,6.06834,14.1116,91.6984,56.8749,30.7405,57.4332,39.6015,,
350, 183.367,130.782,77.9531,-1.47499,4.30925,6.06834,14.1116,91.6984,56.8749,30.7405,57.4332,39.6015,,
351, 183.367,130.782,77.9531,-1.47499,4.30925,6.06834,14.1116,91.6984,56.8749,30.7405,57.4332,39.6015,,
352, 183.367,130.782,77.9531,-1.47499,4.30925,6.06834,14.1116,91.6984,56.8749,30.7405,57.4332,39.6015,,
353, 183.367,130.782,77.9531,-1.47499,4.30925,6.06834,14.1116,91.6984,56.8749,30.7405,57.4332,39.6015,,
354, 183.367,130.782,77.9531,-1.47499,4.30926,6.06835,14.1116,91.6984,56.8749,30.7405,57.4332,39.6015,,
355, 183.367,130.782,77.9531,-1.47499,4.30926,6.06835,14.1116,91.6984,56.8749,30.7405,57.4332,39.6015,,
356, 183.367,130.782,77.9531,-1.47499,4.30926,6.06835,14.1116,91.6984,56.8749,30.7405,57.4332,39.6015,,
357, 183.367,130.782,77.9531,-1.47499,4.30926,6.06835,14.1116,91.6984,56.8749,30.7405,57.4332,39.6015,,
358, 183.367,130.782,77.9531,-1.47499,4.30926,6.06835,14.1116,91.6984,56.8749,30.7405,57.4332,39.6015,,
359, 183.367,130.782,77.9531,-1.47499,4.30926,6.06835,14.1116,91.6984,56.8749,30.7405,57.4332,39.6015,,
360, 183.367,130.782,77.9531,-1.47498,4.30926,6.06835,14.1116,91.6984,56.8749,30.7405,57.4332,39.6015,,
361, 183.367,130.782,77.9531,-1.47498,4.30926,6.06835,14.1116,91.6984,56.8749,30.7405,57.4332,39.6015,,
362, 183.367,130.782,77.9531,-1.47498,4.30926,6.06835,14.1116,91.6984,56.8749,30.7405,57.4332,39.6015,,
363, 183.367,130.782,77.9531,-1.47498,4.30926,6.06835,14.1116,91.6984,56.8749,30.7405,57.4332,39.6015,,
364, 183.367,130.782,77.9531,-1.47498,4.30927,6.06836,14.1116,91.6984,56.8749,30.7405,57.4332,39.6015,,
365, 183.367,130.782,77.9532,-1.47498,4.30927,6.06836,14.1116,91.6984,56.8749,30.7405,57.4332,39.6015,,
366, 183.367,130.782,77.9532,-1.47498,4.30927,6.06836,14.1116,91.6984,56.8749,30.7405,57.4332,39.6015,,
367, 183.367,130.782,77.9532,-1.47498,4.30927,6.06836,14.1116,91.6984,56.8749,30.7405,57.4332,39.6015,,
368, 183.367,130.782,77.9532,-1.47498,4.30927,6.06836,14.1116,91.6985,56.8749,30.7405,57.4332,39.6015,,
369, 183.367,130.782,77.9532,-1.47498,4.30927,6.06836,14.1116,91.6985,56.8749,30.7405,57.4332,39.6015,,
370, 183.367,130.782,77.9532,-1.47498,4.30927,6.06836,14.1116,91.6985,56.8749,30.7405,57.4332,39.6015,,
371, 183.367,130.782,77.9532,-1.47498,4.30927,6.06836,14.1116,91.6985,56.8749,30.7405,57.4332,39.6015,,
372, 183.367,130.782,77.9532,-1.47498,4.30927,6.06836,14.1116,91.6985,56.8749,30.7405,57.4332,39.6015,,
373, 183.367,130.782,77.9532,-1.47498,4.30927,6.06836,14.1116,91.6985,56.8749,30.7405,57.4332,39.6015,,
374, 183.367,130.782,77.9532,-1.47497,4.30927,6.06836,14.1116,91.6985,56.8749,30.7405,57.4332,39.6015,,
375, 183.367,130.782,77.9532,-1.47497,4.30927,6.06836,14.1116,91.6985,56.8749,30.7405,57.4332,39.6015,,
376, 183.367,130.782,77.9532,-1.47497,4.30927,6.06836,14.1116,91.6985,56.8749,30.7405,57.4332,39.6015,,
377, 183.367,130.782,77.9532,-1.47497,4.30927,6.06836,14.1116,91.6985,56.8749,30.7405,57.4332,39.6015,,
378, 183.367,130.782,77.9532,-1.47497,4.30927,6.06836,14.1116,91.6985,56.8749,30.7405,57.4332,39.6015,,
379, 183.367,130.782,77.9532,-1.47497,4.30927,6.06836,14.1116,91.6985,56.8749,30.7405,57.4332,39.6015,,
380, 183.367,130.782,77.9532,-1.47497,4.30927,6.06836,14.1116,91.6985,56.8749,30.7405,57.4332,39.6015,,
381, 183.367,130.782,77.9532,-1.47497,4.30927,6.06836,14.1116,91.6985,56.8749,30.7405,57.4332,39.6015,,
382, 183.367,130.782,77.9532,-1.47497,4.30928,6.06837,14.1116,91.6985,56.8749,30.7405,57.4332,39.6015,,
383, 183.367,130.782,77.9532,-1.47497,4.30928,6.06837,14.1116,91.6985,56.8749,30.7405,57.4332,39.6015,,
384, 183.367,130.782,77.9532,-1.47497,4.30928,6.06837,14.1116,91.6985,56.8749,30.7405,57.4332,39.6015,,
385, 183.367,130.782,77.9532,-1.47497,4.30928,6.06837,14.1116,91.6985,56.8749,30.7405,57.4332,39.6015,,
386, 183.367,130.782,77.9532,-1.47497,4.30928,6.06837,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
387, 183.367,130.782,77.9532,-1.47497,4.30928,6.06837,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
388, 183.367,130.782,77.9532,-1.47497,4.30928,6.06837,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
389, 183.367,130.782,77.9532,-1.47497,4.30928,6.06837,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
390, 183.367,130.782,77.9532,-1.47497,4.30928,6.06837,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
391, 183.367,130.782,77.9532,-1.47497,4.30928,6.06837,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
392, 183.367,130.782,77.9532,-1.47497,4.30928,6.06837,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
393, 183.367,130.782,77.9532,-1.47497,4.30928,6.06837,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
394, 183.367,130.782,77.9532,-1.47497,4.30928,6.06837,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
395, 183.367,130.782,77.9532,-1.47497,4.30928,6.06837,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
396, 183.367,130.782,77.9532,-1.47497,4.30928,6.06837,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
397, 183.367,130.782,77.9532,-1.47497,4.30928,6.06837,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
398, 183.367,130.782,77.9532,-1.47497,4.30928,6.06837,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
399, 183.367,130.782,77.9532,-1.47497,4.30928,6.06837,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
400, 183.367,130.782,77.9532,-1.47497,4.30928,6.06837,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
401, 183.367,130.782,77.9532,-1.47497,4.30928,6.06837,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
402, 183.367,130.782,77.9532,-1.47497,4.30928,6.06837,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
403, 183.367,130.782,77.9532,-1.47497,4.30928,6.06837,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
404, 183.367,130.782,77.9532,-1.47497,4.30928,6.06837,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
405, 183.367,130.782,77.9532,-1.47497,4.30928,6.06837,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
406, 183.367,130.782,77.9532,-1.47497,4.30928,6.06837,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
407, 183.367,130.782,77.9532,-1.47497,4.30928,6.06837,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
408, 183.367,130.782,77.9532,-1.47497,4.30928,6.06837,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
409, 183.367,130.782,77.9532,-1.47497,4.30928,6.06837,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
410, 183.367,130.782,77.9532,-1.47497,4.30928,6.06837,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
411, 183.367,130.782,77.9532,-1.47497,4.30928,6.06837,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
412, 183.367,130.782,77.9532,-1.47497,4.30928,6.06837,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
413, 183.367,130.782,77.9532,-1.47496,4.30928,6.06837,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
414, 183.367,130.782,77.9532,-1.47496,4.30928,6.06837,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
415, 183.367,130.782,77.9532,-1.47496,4.30928,6.06837,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
416, 183.367,130.782,77.9532,-1.47496,4.30928,6.06837,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
417, 183.367,130.782,77.9532,-1.47496,4.30928,6.06837,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
418, 183.367,130.782,77.9532,-1.47496,4.30928,6.06837,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
419, 183.367,130.782,77.9532,-1.47496,4.30928,6.06837,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
420, 183.367,130.782,77.9532,-1.47496,4.30928,6.06837,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
421, 183.367,130.782,77.9532,-1.47496,4.30928,6.06837,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
422, 183.367,130.782,77.9532,-1.47496,4.30928,6.06837,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
423, 183.367,130.782,77.9532,-1.47496,4.30928,6.06837,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
424, 183.367,130.782,77.9532,-1.47496,4.30928,6.06837,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
425, 183.367,130.782,77.9532,-1.47496,4.30928,6.06837,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
426, 183.367,130.782,77.9532,-1.47496,4.30928,6.06837,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
427, 183.367,130.782,77.9532,-1.47496,4.30928,6.06837,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
428, 183.367,130.782,77.9532,-1.47496,4.30928,6.06837,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
429, 183.367,130.782,77.9532,-1.47496,4.30928,6.06837,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
